Time (Date hh:mm:ss.ms),LEQ dB-A ,Lmax dB-A ,L10 dB-A ,L90 dB-A ,
2025/05/29 21:25:00.000,59.288698 ,68.330365 ,64.030865 ,50.142865 ,
2025/05/29 21:30:00.000,64.705123 ,82.230365 ,68.881865 ,50.683865 ,
2025/05/29 21:35:00.000,63.691381 ,77.030365 ,68.119365 ,49.093365 ,
2025/05/29 21:40:00.000,58.652810 ,69.130365 ,63.249865 ,49.266865 ,
2025/05/29 21:45:00.000,58.441024 ,70.030365 ,63.570365 ,47.994365 ,
2025/05/29 21:50:00.000,58.093550 ,68.630365 ,63.058365 ,47.442365 ,
2025/05/29 21:55:00.000,57.207200 ,73.930365 ,61.666865 ,46.016865 ,
2025/05/29 22:00:00.000,56.282599 ,67.730365 ,61.704365 ,47.544365 ,
2025/05/29 22:05:00.000,55.121746 ,68.730365 ,59.135365 ,47.451365 ,
2025/05/29 22:10:00.000,60.484754 ,75.430365 ,64.921865 ,48.806865 ,
2025/05/29 22:15:00.000,57.910663 ,68.530365 ,62.818365 ,48.482365 ,
2025/05/29 22:20:00.000,58.679706 ,68.830365 ,63.602865 ,48.797865 ,
2025/05/29 22:25:00.000,58.649612 ,69.530365 ,63.623365 ,48.153365 ,
2025/05/29 22:30:00.000,56.371682 ,67.530365 ,61.432865 ,46.547865 ,
2025/05/29 22:35:00.000,57.818040 ,68.630365 ,62.894365 ,48.334365 ,
2025/05/29 22:40:00.000,54.274407 ,68.830365 ,56.657365 ,46.243365 ,
2025/05/29 22:45:00.000,47.513848 ,52.730365 ,48.980365 ,45.180365 ,
2025/05/29 22:50:00.000,55.385505 ,68.930365 ,58.250865 ,46.942865 ,
2025/05/29 22:55:00.000,55.211402 ,69.230365 ,57.161365 ,47.321365 ,
2025/05/29 23:00:00.000,48.216618 ,57.430365 ,49.980365 ,45.500365 ,
2025/05/29 23:05:00.000,53.026894 ,66.330365 ,56.681865 ,45.362865 ,
2025/05/29 23:10:00.000,50.390610 ,64.830365 ,50.390865 ,44.124865 ,
2025/05/29 23:15:00.000,46.618783 ,52.730365 ,48.616365 ,43.976365 ,
2025/05/29 23:20:00.000,48.002649 ,53.930365 ,50.340365 ,44.460365 ,
2025/05/29 23:25:00.000,53.221741 ,69.530365 ,52.505365 ,45.381365 ,
2025/05/29 23:30:00.000,47.790576 ,58.830365 ,49.728365 ,44.316365 ,
2025/05/29 23:35:00.000,47.832567 ,60.330365 ,49.682365 ,43.922365 ,
2025/05/29 23:40:00.000,50.686613 ,67.930365 ,49.435365 ,42.585365 ,
2025/05/29 23:45:00.000,57.178981 ,79.130365 ,52.478365 ,44.638365 ,
2025/05/29 23:50:00.000,47.210040 ,52.930365 ,49.588365 ,44.296365 ,
2025/05/29 23:55:00.000,47.848526 ,52.530365 ,50.027365 ,44.825365 ,
2025/05/30 00:00:00.000,49.598594 ,65.530365 ,49.732865 ,44.044865 ,
2025/05/30 00:05:00.000,46.271667 ,51.130365 ,48.037865 ,44.032865 ,
2025/05/30 00:10:00.000,49.823905 ,66.430365 ,49.306865 ,43.349865 ,
2025/05/30 00:15:00.000,46.828291 ,55.230365 ,48.700365 ,44.080365 ,
2025/05/30 00:20:00.000,46.665342 ,60.630365 ,48.530365 ,43.330365 ,
2025/05/30 00:25:00.000,48.064885 ,61.330365 ,49.890865 ,44.716865 ,
2025/05/30 00:30:00.000,46.855582 ,66.530365 ,48.597865 ,40.927865 ,
2025/05/30 00:35:00.000,45.048849 ,56.630365 ,46.856865 ,40.634865 ,
2025/05/30 00:40:00.000,44.890625 ,51.730365 ,46.890365 ,42.090365 ,
2025/05/30 00:45:00.000,44.299416 ,49.930365 ,46.565365 ,41.065365 ,
2025/05/30 00:50:00.000,43.176166 ,50.130365 ,45.203865 ,40.000865 ,
2025/05/30 00:55:00.000,44.542079 ,51.930365 ,46.973365 ,41.077365 ,
2025/05/30 01:00:00.000,43.634667 ,51.030365 ,46.248865 ,39.698865 ,
2025/05/30 01:05:00.000,42.932801 ,49.430365 ,45.172865 ,39.882865 ,
2025/05/30 01:10:00.000,42.901820 ,51.230365 ,45.606865 ,37.456865 ,
2025/05/30 01:15:00.000,43.857967 ,52.330365 ,46.671365 ,40.031365 ,
2025/05/30 01:20:00.000,42.365843 ,50.530365 ,45.091865 ,38.386865 ,
2025/05/30 01:25:00.000,46.456093 ,64.430365 ,46.505865 ,39.761865 ,
2025/05/30 01:30:00.000,43.171159 ,54.630365 ,45.275865 ,39.354865 ,
2025/05/30 01:35:00.000,41.642377 ,51.530365 ,45.194365 ,36.962365 ,
2025/05/30 01:40:00.000,44.456159 ,56.930365 ,47.622865 ,38.643865 ,
2025/05/30 01:45:00.000,41.649291 ,48.030365 ,44.244365 ,38.560365 ,
2025/05/30 01:50:00.000,41.924696 ,50.930365 ,45.305365 ,36.773365 ,
2025/05/30 01:55:00.000,42.588142 ,57.230365 ,45.042865 ,36.492865 ,
2025/05/30 02:00:00.000,42.546213 ,52.830365 ,45.450365 ,37.178365 ,
2025/05/30 02:05:00.000,46.659615 ,65.230365 ,47.495365 ,38.505365 ,
2025/05/30 02:10:00.000,45.043205 ,62.430365 ,45.396865 ,35.727865 ,
2025/05/30 02:15:00.000,41.017737 ,50.330365 ,43.872865 ,36.876865 ,
2025/05/30 02:20:00.000,43.643809 ,54.230365 ,46.125365 ,38.601365 ,
2025/05/30 02:25:00.000,47.362929 ,71.030365 ,47.764365 ,41.456365 ,
2025/05/30 02:30:00.000,42.603913 ,52.730365 ,45.507365 ,35.805365 ,
2025/05/30 02:35:00.000,42.294540 ,52.830365 ,45.113365 ,36.377365 ,
2025/05/30 02:40:00.000,42.963787 ,50.030365 ,45.729865 ,38.256865 ,
2025/05/30 02:45:00.000,41.729120 ,49.930365 ,44.242365 ,38.194365 ,
2025/05/30 02:50:00.000,55.838773 ,75.930365 ,48.714365 ,42.090365 ,
2025/05/30 02:55:00.000,43.666925 ,52.130365 ,47.251865 ,39.295865 ,
2025/05/30 03:00:00.000,54.134791 ,74.530365 ,48.497865 ,38.123865 ,
2025/05/30 03:05:00.000,50.990864 ,72.230365 ,47.479865 ,38.863865 ,
2025/05/30 03:10:00.000,50.123258 ,69.530365 ,48.132865 ,40.841865 ,
2025/05/30 03:15:00.000,42.227913 ,54.830365 ,45.081865 ,36.610865 ,
2025/05/30 03:20:00.000,44.853551 ,61.530365 ,45.071365 ,38.429365 ,
2025/05/30 03:25:00.000,45.552304 ,64.730365 ,45.186865 ,36.399865 ,
2025/05/30 03:30:00.000,41.574555 ,49.330365 ,44.755365 ,37.255365 ,
2025/05/30 03:35:00.000,42.078752 ,52.330365 ,45.150865 ,37.538865 ,
2025/05/30 03:40:00.000,43.118731 ,52.830365 ,45.399865 ,39.381865 ,
2025/05/30 03:45:00.000,41.302381 ,48.930365 ,43.703365 ,37.807365 ,
2025/05/30 03:50:00.000,48.598407 ,65.630365 ,47.157865 ,36.175865 ,
2025/05/30 03:55:00.000,42.287995 ,55.030365 ,45.512865 ,36.353865 ,
2025/05/30 04:00:00.000,42.173239 ,49.530365 ,44.658865 ,37.749865 ,
2025/05/30 04:05:00.000,43.749088 ,53.230365 ,46.200365 ,39.720365 ,
2025/05/30 04:10:00.000,44.865250 ,55.430365 ,47.841865 ,39.735865 ,
2025/05/30 04:15:00.000,45.872929 ,62.930365 ,47.908365 ,41.536365 ,
2025/05/30 04:20:00.000,44.633902 ,54.730365 ,46.962865 ,40.635865 ,
2025/05/30 04:25:00.000,44.613887 ,54.130365 ,46.662865 ,41.877865 ,
2025/05/30 04:30:00.000,48.230293 ,63.130365 ,48.578865 ,39.233865 ,
2025/05/30 04:35:00.000,44.939181 ,54.930365 ,47.715365 ,39.795365 ,
2025/05/30 04:40:00.000,46.789391 ,56.630365 ,50.307865 ,40.752865 ,
2025/05/30 04:45:00.000,46.143753 ,59.430365 ,48.772865 ,39.957865 ,
2025/05/30 04:50:00.000,44.153916 ,51.830365 ,47.062365 ,39.718365 ,
2025/05/30 04:55:00.000,48.333843 ,57.730365 ,51.966865 ,42.735865 ,
2025/05/30 05:00:00.000,47.513829 ,61.930365 ,50.845365 ,42.335365 ,
2025/05/30 05:05:00.000,51.128214 ,67.530365 ,54.647365 ,42.887365 ,
2025/05/30 05:10:00.000,51.821837 ,64.130365 ,55.989365 ,43.689365 ,
2025/05/30 05:15:00.000,52.574609 ,68.530365 ,56.226365 ,43.266365 ,
2025/05/30 05:20:00.000,52.165846 ,69.530365 ,55.657865 ,44.097865 ,
2025/05/30 05:25:00.000,47.986474 ,62.430365 ,51.035865 ,40.934865 ,
2025/05/30 05:30:00.000,49.675596 ,61.830365 ,50.895865 ,42.579865 ,
2025/05/30 05:35:00.000,49.487827 ,61.630365 ,52.783865 ,44.341865 ,
2025/05/30 05:40:00.000,50.171369 ,62.230365 ,53.356365 ,43.972365 ,
2025/05/30 05:45:00.000,49.741327 ,65.730365 ,51.331865 ,42.659865 ,
2025/05/30 05:50:00.000,49.836883 ,62.330365 ,51.887865 ,44.792865 ,
2025/05/30 05:55:00.000,59.064874 ,72.530365 ,63.566865 ,45.453865 ,
2025/05/30 06:00:00.000,62.024716 ,76.130365 ,67.666865 ,48.695865 ,
2025/05/30 06:05:00.000,58.840552 ,70.030365 ,63.232365 ,49.544365 ,
2025/05/30 06:10:00.000,58.974082 ,73.530365 ,61.812365 ,48.380365 ,
