type,id,positionId,start_utc,end_utc,note,color,areas,timestamp_utc,duration_ms,metrics_parameter,metrics_data_resolution,metrics_duration_ms,metrics_laeq,metrics_lafmax,metrics_la90,metrics_la90_available,metrics_broadband_value,metrics_broadband_position,metrics_timestamp_utc,metrics_spectrum_source
region,24,"Residential boundary (971-2, 440 m)",2026-03-04 12:10:16.048,2026-03-04 12:10:16.545,,#1e88e5,"[{""startUtc"":""2026-03-04 12:10:16.048"",""endUtc"":""2026-03-04 12:10:16.545""}]",,497,LZeq,none,497,0,0,0,,,,,
region,25,"Residential boundary (971-2, 440 m)",2026-03-04 12:10:17.986,2026-03-04 12:10:18.119,,#1e88e5,"[{""startUtc"":""2026-03-04 12:10:17.986"",""endUtc"":""2026-03-04 12:10:18.119""}]",,133,LZeq,none,133,0,0,0,,,,,
region,26,"Residential boundary (971-2, 440 m)",2026-03-04 12:23:17.398,2026-03-04 12:23:17.691,,#1e88e5,"[{""startUtc"":""2026-03-04 12:23:17.398"",""endUtc"":""2026-03-04 12:23:17.691""}]",,293,LZeq,none,293,0,0,0,,,,,
region,27,"Residential boundary (971-2, 440 m)",2026-03-04 12:23:18.390,2026-03-04 12:23:18.716,,#1e88e5,"[{""startUtc"":""2026-03-04 12:23:18.390"",""endUtc"":""2026-03-04 12:23:18.716""}]",,325,LZeq,none,325,0,0,0,,,,,
region,28,"Residential boundary (971-2, 440 m)",2026-03-04 12:27:59.834,2026-03-04 12:28:00.596,,#1e88e5,"[{""startUtc"":""2026-03-04 12:27:59.834"",""endUtc"":""2026-03-04 12:28:00.596""}]",,762,LZeq,none,762,0,0,0,,,,,
region,29,"Residential boundary (971-2, 440 m)",2026-03-04 12:28:10.493,2026-03-04 12:28:10.799,,#1e88e5,"[{""startUtc"":""2026-03-04 12:28:10.493"",""endUtc"":""2026-03-04 12:28:10.799""}]",,306,LZeq,none,306,0,0,0,,,,,
region,30,"Residential boundary (971-2, 440 m)",2026-03-04 12:28:11.196,2026-03-04 12:28:11.604,,#1e88e5,"[{""startUtc"":""2026-03-04 12:28:11.196"",""endUtc"":""2026-03-04 12:28:11.604""}]",,408,LZeq,none,408,0,0,0,,,,,
region,31,"Residential boundary (971-2, 440 m)",2026-03-04 12:29:45.290,2026-03-04 12:29:45.546,,#1e88e5,"[{""startUtc"":""2026-03-04 12:29:45.290"",""endUtc"":""2026-03-04 12:29:45.546""}]",,256,LZeq,none,256,0,0,0,,,,,
region,32,"Residential boundary (971-2, 440 m)",2026-03-04 12:30:10.679,2026-03-04 12:30:11.006,,#1e88e5,"[{""startUtc"":""2026-03-04 12:30:10.679"",""endUtc"":""2026-03-04 12:30:11.006""}]",,327,LZeq,none,327,0,0,0,,,,,
region,33,"Residential boundary (971-2, 440 m)",2026-03-04 12:30:18.005,2026-03-04 12:30:18.584,,#1e88e5,"[{""startUtc"":""2026-03-04 12:30:18.005"",""endUtc"":""2026-03-04 12:30:18.584""}]",,579,LZeq,none,579,0,0,0,,,,,
region,34,"Residential boundary (971-2, 440 m)",2026-03-04 12:30:51.308,2026-03-04 12:30:51.581,,#1e88e5,"[{""startUtc"":""2026-03-04 12:30:51.308"",""endUtc"":""2026-03-04 12:30:51.581""}]",,273,LZeq,none,273,0,0,0,,,,,
region,35,"Residential boundary (971-2, 440 m)",2026-03-04 12:30:54.890,2026-03-04 12:30:55.183,,#1e88e5,"[{""startUtc"":""2026-03-04 12:30:54.890"",""endUtc"":""2026-03-04 12:30:55.183""}]",,293,LZeq,none,293,0,0,0,,,,,
